,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
5105756,11404996,09/12/2019 09:01:00 AM,09/12/2019 09:01:03 AM,09/12/2019 09:01:03 AM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"252 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",GOLDEN GATE AVE,5.0,Tenderloin,TENDERLOIN,37.781778333333,-122.414771666667,"(37.78177833, -122.41477167)",Mobile/Open311,http://mobile311.sfgov.org/reports/11404996/photos,20.0,5.0,10.0,36.0,9.0,7.0,10.0,28852.0,10.0,36.0,36.0,17.0,20.0,1.0,10.0,18.0,,1.0,18.0,6.0,1.0,2.0,1.0,1.0,,,20.0
5618307,9991442,12/30/2018 09:06:13 AM,01/15/2019 11:00:57 PM,01/15/2019 11:00:57 PM,Closed,Transferred - Your request falls under the responsibility of The United States Postal Service (USPS) and we have submitted the request to them. You may contact the USPS directly at (415) 550-5001 to check on the status of this request.,US Postal Service Maintenance Queue,Graffiti,Graffiti on Mail_box,Mail_box - Offensive,"400 MASONIC AVE, SAN FRANCISCO, CA, 94118",MASONIC AVE,2.0,Western Addition,PARK,37.777627644727,-122.446821290298,"(37.77762764, -122.44682129)",Mobile/Open311,http://mobile311.sfgov.org/reports/9991442/photos,97.0,7.0,11.0,18.0,11.0,15.0,8.0,29492.0,5.0,16.0,16.0,,97.0,,11.0,,,,,,,1.0,,,,,97.0
4912259,14641813,11/21/2021 10:23:00 AM,11/21/2021 12:35:00 PM,11/21/2021 12:35:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of MANSELL ST and UNIVERSITY ST,MANSELL ST,9.0,Portola,BAYVIEW,37.718917596556,-122.410637737714,"(37.7189176, -122.41063774)",Mobile/Open311,http://mobile311.sfgov.org/reports/14641813/photos,91.0,9.0,9.0,19.0,8.0,9.0,3.0,309.0,3.0,18.0,18.0,,91.0,,9.0,,,,,,,2.0,,,,,91.0
4265842,12933738,09/22/2020 07:53:49 PM,09/22/2020 10:16:14 PM,09/22/2020 10:16:14 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 12933731,DPW Ops Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,"552 HAIGHT ST, SAN FRANCISCO, CA, 94117",HAIGHT ST,5.0,Lower Haight,NORTHERN,37.77195833,-122.43140333,"(37.77195833, -122.43140333)",Mobile/Open311,http://mobile311.sfgov.org/reports/12933738/photos,26.0,4.0,11.0,9.0,11.0,15.0,6.0,29492.0,9.0,10.0,10.0,,26.0,,11.0,,,,,,,1.0,,,,,26.0
3959418,10314534,01/04/2019 09:54:00 AM,01/07/2019 12:00:00 AM,01/07/2019 12:00:00 AM,Closed,"Case Resolved - CCTV INSPECTION OF SEWER
18TOC-6686  TempOccup Champion Cleaning Specialists Inc. 140 SEVILLE ST [6447014] CLOSED 9/12/2018 09/13/2018 - 09/14/2018 Temporary Occupancy   Expired  - NONE",DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"140 SEVILLE ST, SAN FRANCISCO, CA, 94112",SEVILLE ST,11.0,Crocker Amazon,INGLESIDE,37.711547851563,-122.436576843262,"(37.71154785, -122.43657684)",Phone,,58.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,,58.0,,1.0,,,,,,,2.0,,,,,58.0
3507624,10562483,03/04/2019 05:35:00 PM,03/04/2019 06:16:00 PM,03/04/2019 06:16:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"378 20TH AVE, SAN FRANCISCO, CA, 94121",20TH AVE,1.0,Outer Richmond,RICHMOND,37.780815124512,-122.479248046875,"(37.78081512, -122.47924805)",Phone,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,2.0,,,,,8.0
1867281,4368897,01/06/2015 06:54:11 PM,01/07/2015 02:24:17 PM,01/07/2015 02:24:17 PM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"456 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,6.0,South of Market,SOUTHERN,37.779769897461,-122.4052734375,"(37.7797699, -122.40527344)",Phone,,32.0,1.0,10.0,34.0,9.0,14.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,,,7.0,,2.0,,,,,32.0
176125,597501,02/07/2010 02:47:19 PM,02/08/2010 08:20:20 AM,02/08/2010 08:20:20 AM,Closed,Case Transferred - PSR 356999,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Inattentiveness_Negligence,212_Did_Not_Enforce_Rules_Contact_Authorities,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396775,9982890,12/27/2018 03:35:27 PM,12/27/2018 05:42:00 PM,12/27/2018 05:42:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"35 12TH ST, SAN FRANCISCO, CA, 94103",12TH ST,6.0,South of Market,SOUTHERN,37.77409861764,-122.419842440137,"(37.77409862, -122.41984244)",Mobile/Open311,http://mobile311.sfgov.org/reports/9982890/photos,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,32.0
1904443,1884070,01/11/2013 03:11:09 PM,05/04/2015 09:22:45 PM,05/04/2015 09:22:45 PM,Closed,Case Transferred - Per process - cases are closed 14 days after assignment.,City Attorney - G,General Request - CITY ATTORNEY,mailing_request,city_attorney - mailing_request,"835 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",GOLDEN GATE AVE,5.0,Western Addition,NORTHERN,37.780475616455,-122.424346923828,"(37.78047562, -122.42434692)",Phone,,97.0,4.0,11.0,39.0,11.0,7.0,6.0,28852.0,9.0,41.0,41.0,,97.0,,11.0,,,,,,,2.0,,,,,97.0
648996,5399943,12/23/2015 02:35:06 PM,02/29/2016 03:14:49 PM,02/29/2016 03:14:49 PM,Closed,DPT Sign Shop - Sign Serviced,DPT SignShop 05 Queue,Sign Repair,Sign Repair - Loose,Street_Name - Loose; support - Leaning,Intersection of GEARY BLVD and FILLMORE ST,GEARY BLVD,5.0,Japantown,NORTHERN,37.784355163574,-122.432914733887,"(37.78435516, -122.43291473)",Phone,,103.0,4.0,11.0,39.0,11.0,13.0,6.0,29490.0,9.0,41.0,41.0,8.0,103.0,,11.0,9.0,,,9.0,,,2.0,,,,,103.0
4986366,15439109,06/10/2022 02:48:59 PM,06/10/2022 10:20:22 PM,06/10/2022 10:20:22 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 15435669,DPW Ops Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,"3901 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,1.0,Inner Richmond,RICHMOND,37.785571666667,-122.459336666667,"(37.78557167, -122.45933667)",Mobile/Open311,http://mobile311.sfgov.org/reports/15439109/photos,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
953998,3158066,12/12/2013 09:18:29 AM,12/17/2013 07:03:56 AM,12/17/2013 07:03:56 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Graffiti,Graffiti on Pole,Pole - Offensive,"1927 WASHINGTON ST, SAN FRANCISCO, CA, 94109",WASHINGTON ST,2.0,Pacific Heights,NORTHERN,37.792652130127,-122.425033569336,"(37.79265213, -122.42503357)",Web,,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
94398,6201918,08/16/2016 12:53:29 PM,08/16/2016 02:11:29 PM,08/16/2016 02:11:29 PM,Closed,Case Resolved - SFPD notified,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"681 FLORIDA ST, SAN FRANCISCO, CA, 94110",FLORIDA ST,9.0,Mission,MISSION,37.760690142445,-122.410919470063,"(37.76069014, -122.41091947)",Phone,,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
4677525,11397005,09/10/2019 02:43:00 PM,05/13/2020 09:03:04 AM,05/13/2020 09:03:04 AM,Closed,Case closed - Case resolved,SFMTA - Temporary Sign Request Printing Queue,Temporary Sign Request,Temporary Sign Request for Moving_residential_property,60 ft zone requested from 09/19/2019 to 09/19/2019,"329 BAY ST, SAN FRANCISCO, CA, 94133",BAY ST,3.0,North Beach,CENTRAL,37.805610656738,-122.412666320801,"(37.80561066, -122.41266632)",Phone,,106.0,6.0,3.0,23.0,10.0,3.0,1.0,308.0,1.0,23.0,23.0,,106.0,,3.0,,,,,2.0,,2.0,,,,,106.0
753882,4056849,09/29/2014 06:58:14 AM,09/29/2014 08:05:56 AM,09/29/2014 08:05:56 AM,Closed,Case Resolved - serviced,Recology_Overflowing,Street and Sidewalk Cleaning,Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster,Intersection of 19TH ST and SANCHEZ ST,19TH ST,8.0,Dolores Heights,MISSION,37.759554506664,-122.430456262203,"(37.75955451, -122.43045626)",Mobile/Open311,http://mobile311.sfgov.org/reports/4056849/photos,52.0,3.0,5.0,5.0,5.0,2.0,7.0,28862.0,4.0,3.0,3.0,,52.0,,5.0,,,,,,,1.0,,5.0,,,52.0
3437375,10761185,04/22/2019 10:20:00 AM,04/22/2019 01:35:00 PM,04/22/2019 01:35:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"35 WALTER U LUM PL, SAN FRANCISCO, CA, 94108",WALTER U LUM PL,3.0,Chinatown,CENTRAL,37.794741190258,-122.405774742365,"(37.79474119, -122.40577474)",Mobile/Open311,,104.0,6.0,3.0,6.0,10.0,3.0,1.0,28857.0,1.0,4.0,4.0,5.0,104.0,,3.0,5.0,,,5.0,,,2.0,,,18.0,6.0,104.0
5755966,15803371,09/10/2022 08:14:00 AM,09/11/2022 11:40:17 AM,09/11/2022 11:40:17 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"3149 25TH ST, SAN FRANCISCO, CA, 94110 (Virtual)",25TH ST,9.0,Mission,MISSION,37.750852827687,-122.412690035384,"(37.75085283, -122.41269004)",Mobile/Open311,http://mobile311.sfgov.org/reports/15803371/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
2602797,6753844,01/20/2017 06:36:37 PM,01/21/2017 02:08:04 AM,01/21/2017 02:08:04 AM,Closed,Case Resolved - Police Officer responded to request under CAD # 170202727. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,Homeless Concerns,Individual Concerns,wellbeing_check,"29 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,6.0,South of Market,TENDERLOIN,37.776030698815,-122.416746895901,"(37.7760307, -122.4167469)",Mobile/Open311,,32.0,5.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,1.0,,7.0,1.0,2.0,1.0,1.0,,,32.0
4826059,14409115,09/29/2021 07:32:00 AM,09/29/2021 08:48:37 AM,09/29/2021 08:48:37 AM,Closed,Case Resolved - Officer responded to request under CAD # 212720556.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Parking Enforcement,"2381 41ST AVE, SAN FRANCISCO, CA, 94116",41ST AVE,4.0,Outer Sunset,TARAVAL,37.74239503006,-122.499402632004,"(37.74239503, -122.49940263)",Mobile/Open311,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
4160823,13170986,11/22/2020 07:48:00 AM,11/22/2020 08:42:27 AM,11/22/2020 08:42:27 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of 20TH AVE and NORIEGA ST,20TH AVE,4.0,Outer Sunset,TARAVAL,37.7541874,-122.4775628,"(37.7541874, -122.4775628)",Web,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,56.0,8.0,35.0,35.0,,39.0,,7.0,25.0,,,,,,1.0,,,,,39.0
1548834,9521583,09/10/2018 02:48:00 PM,09/10/2018 08:38:00 PM,09/10/2018 08:38:00 PM,Closed,Case Resolved - SERVICED,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of 30TH AVE and GEARY BLVD,30TH AVE,1.0,Outer Richmond,RICHMOND,37.779838562012,-122.490097045898,"(37.77983856, -122.49009705)",Phone,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
1320584,15760743,08/30/2022 09:07:05 PM,,08/30/2022 09:07:05 PM,Open,,SFMTA - Transportation Engineering Queue,General Request - MTA,request_for_service,traffic_engineering - request_for_service,Intersection of 43RD AVE and POINT LOBOS AVE,43RD AVE,1.0,Sutro Heights,RICHMOND,37.779705047607,-122.504058837891,"(37.77970505, -122.50405884)",Web,,6.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,6.0,,4.0,,,,,,,1.0,,,,,6.0
4812647,14372466,09/20/2021 04:54:00 PM,09/20/2021 05:17:09 PM,09/20/2021 05:17:09 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"7 DEL VALE AVE, SAN FRANCISCO, CA, 94127",DEL VALE AVE,7.0,Miraloma Park,INGLESIDE,37.74222946167,-122.447662353516,"(37.74222946, -122.44766235)",Phone,,72.0,9.0,8.0,41.0,4.0,9.0,4.0,59.0,7.0,40.0,40.0,,72.0,,8.0,,,,,,,1.0,,,,,72.0
4377912,12639493,07/12/2020 08:23:00 AM,07/12/2020 01:36:32 PM,07/12/2020 01:36:32 PM,Closed,Case Resolved - Pickup completed.,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of VIENNA ST and AMAZON AVE,VIENNA ST,11.0,Excelsior,INGLESIDE,37.715065002441,-122.434494018555,"(37.715065, -122.43449402)",Phone,,90.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,,90.0,,1.0,,,,,,,2.0,,,,,90.0
2328473,8066387,09/26/2017 10:35:00 AM,09/26/2017 06:16:00 AM,09/26/2017 06:16:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 30TH AVE and CLEMENT ST,30TH AVE,1.0,Outer Richmond,RICHMOND,37.781776428223,-122.490234375,"(37.78177643, -122.49023438)",Phone,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,2.0,,,,,8.0
5634825,15905483,10/04/2022 06:35:00 PM,10/11/2022 05:59:19 AM,10/11/2022 05:59:19 AM,Closed,Case Resolved - Holes were blocked off.,RPD Park Service Area 5 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"Douglass Playground, , SAN FRANCISCO, CA, 94131",Douglass Playground,8.0,Diamond Heights,MISSION,37.74690822236,-122.439631428684,"(37.74690822, -122.43963143)",Mobile/Open311,http://mobile311.sfgov.org/reports/15905483/photos,57.0,3.0,5.0,22.0,5.0,2.0,7.0,63.0,4.0,22.0,22.0,,57.0,,5.0,,,,,,,1.0,,,,,57.0
5746794,15912887,10/06/2022 01:00:00 PM,10/06/2022 02:14:00 PM,10/06/2022 02:14:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1530 JONES ST, SAN FRANCISCO, CA, 94109",JONES ST,3.0,Nob Hill,CENTRAL,37.7954512,-122.4147162,"(37.7954512, -122.4147162)",Web,http://mobile311.sfgov.org/reports/15912887/photos,16.0,6.0,3.0,21.0,10.0,5.0,1.0,308.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
318258,409065,04/10/2009 04:09:48 PM,04/28/2009 02:47:24 PM,04/28/2009 02:47:24 PM,Closed,SFHA WO Close - Completed,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,"2243 48TH AVE, Apt 11, SAN FRANCISCO, CA, 94116",48TH AVE,4.0,Outer Sunset,TARAVAL,37.744598388672,-122.50700378418,"(37.74459839, -122.50700378)",Phone,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
4258153,12911794,09/17/2020 09:48:00 AM,09/17/2020 10:22:22 AM,09/17/2020 10:22:22 AM,Closed,Case Resolved - Officer responded to request under CAD # 202611044. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,black - mercedes - 6yiy247,"202 IVY ST, SAN FRANCISCO, CA, 94102",IVY ST,5.0,Civic Center,NORTHERN,37.77756827,-122.42184888,"(37.77756827, -122.42184888)",Phone,,21.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,21.0,1.0,11.0,,,1.0,,8.0,,1.0,,1.0,,,21.0
4326158,12769237,08/13/2020 12:15:00 PM,08/13/2020 12:37:49 PM,08/13/2020 12:37:49 PM,Closed,Case Resolved - Police Officer responded to request under CAD # 202261416. Advised of violation.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,Silver - Vw - Stolen,Intersection of 24TH ST and VERMONT ST,24TH ST,10.0,Potrero Hill,MISSION,37.75319901,-122.40342211,"(37.75319901, -122.40342211)",Mobile/Open311,http://mobile311.sfgov.org/reports/12769237/photos,54.0,3.0,9.0,20.0,8.0,10.0,7.0,28859.0,4.0,19.0,19.0,23.0,54.0,,9.0,10.0,,,10.0,,,1.0,,,,,54.0
672160,5338365,12/02/2015 02:25:08 PM,12/11/2015 01:58:46 AM,12/11/2015 01:58:46 AM,Closed,Case Completed - resolved: tree has already been posted and will be removed.,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Dead_tree,"210 GELLERT DR, SAN FRANCISCO, CA, 94132",GELLERT DR,7.0,Lakeshore,TARAVAL,37.730149604244,-122.492840061345,"(37.7301496, -122.49284006)",Phone,,43.0,10.0,8.0,35.0,4.0,1.0,5.0,64.0,8.0,35.0,35.0,,43.0,,8.0,,,,,,,1.0,,,,,43.0
4632818,11948097,01/15/2020 11:43:00 AM,01/18/2020 10:07:12 AM,01/18/2020 10:07:12 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Pole - Street Lamp,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"1485 WALLER ST, SAN FRANCISCO, CA, 94117",WALLER ST,5.0,Haight Ashbury,PARK,37.768773051672,-122.448194544654,"(37.76877305, -122.44819454)",Mobile/Open311,http://mobile311.sfgov.org/reports/11948097/photos,25.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,25.0,,11.0,24.0,,,25.0,,,1.0,,,,,25.0
60948,6298511,09/11/2016 11:22:17 AM,09/15/2016 11:13:51 AM,09/15/2016 11:13:51 AM,Closed,"Case Resolved - Per PSA Manager, Dead rat has been removed.",RPD Park Service Area 2 Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Trash_Dumping,"Victoria Manalo Draves Park, , SAN FRANCISCO, CA, 94103",Victoria Manalo Draves Park,6.0,South of Market,SOUTHERN,37.777007470784,-122.40595781046,"(37.77700747, -122.40595781)",Phone,,32.0,1.0,10.0,34.0,9.0,14.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,,10.0,6.0,,,6.0,,,2.0,,,38.0,12.0,32.0
3606011,1694178,11/17/2012 10:04:30 AM,11/19/2012 11:17:56 AM,11/19/2012 11:17:56 AM,Closed,Case is a Duplicate,SFMTA - G,General Request - MTA,request_for_service,mta_other - request_for_service,Intersection of DELTA ST and WILDE AVE,DELTA ST,10.0,Visitacion Valley,INGLESIDE,37.717819213867,-122.407272338867,"(37.71781921, -122.40727234)",Phone,,75.0,9.0,9.0,40.0,8.0,10.0,4.0,309.0,7.0,39.0,39.0,,75.0,,9.0,,,,,,,2.0,,,,,75.0
3798700,966573,09/20/2011 06:17:53 PM,09/21/2011 08:01:21 AM,09/21/2011 08:01:21 AM,Closed,Case Transferred - 396301,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,611_Signs_Maps_and_Auto_Announcements,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737907,4888031,07/07/2015 11:55:48 AM,07/07/2015 01:19:06 PM,07/07/2015 01:19:06 PM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of WHITTIER ST and MISSION ST,WHITTIER ST,11.0,Outer Mission,INGLESIDE,37.710372924805,-122.448379516602,"(37.71037292, -122.44837952)",Integrated Agency,,66.0,9.0,1.0,28.0,6.0,9.0,4.0,28861.0,7.0,25.0,25.0,,66.0,,1.0,,,,,,,2.0,,,,,66.0
4914099,14647407,11/22/2021 03:25:00 PM,12/06/2021 01:57:21 PM,12/06/2021 01:57:21 PM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on ATT_Property,ATT_Property - Offensive,"5003 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,1.0,Inner Richmond,RICHMOND,37.784334,-122.4711568,"(37.784334, -122.4711568)",Web,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
3438204,10757718,04/21/2019 11:38:00 AM,04/21/2019 10:15:18 PM,04/21/2019 10:15:18 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 10757649,DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Offensive,"2764 24TH ST, SAN FRANCISCO, CA, 94110",24TH ST,9.0,Mission,MISSION,37.752987,-122.407731,"(37.752987, -122.407731)",Mobile/Open311,http://mobile311.sfgov.org/reports/10757718/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,10.0,3.0,,,,1.0,,3.0,,,53.0
3888170,816672,01/31/2011 09:53:27 AM,02/02/2011 06:06:07 AM,02/02/2011 06:06:07 AM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"119 AUGUSTA ST, SAN FRANCISCO, CA, 94124",AUGUSTA ST,10.0,Silver Terrace,BAYVIEW,37.734260559082,-122.404052734375,"(37.73426056, -122.40405273)",Phone,,87.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,87.0,,9.0,,,,,,,2.0,,,,,87.0
641918,5461650,01/13/2016 12:25:43 PM,02/06/2016 10:24:22 AM,02/06/2016 10:24:22 AM,Closed,Case Completed - resolved: POSTED. DS. 11.10,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Not_Offensive,"2172 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9.0,Mission,MISSION,37.762252804693,-122.419561431946,"(37.7622528, -122.41956143)",Phone,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28859.0,4.0,19.0,19.0,13.0,53.0,,2.0,15.0,,3.0,15.0,,,2.0,,3.0,,,53.0
3083590,11763620,12/03/2019 10:31:00 AM,12/04/2019 12:23:00 PM,12/04/2019 12:23:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"940 SHOTWELL ST, SAN FRANCISCO, CA, 94110",SHOTWELL ST,9.0,Mission,MISSION,37.753288527054,-122.415301865081,"(37.75328853, -122.41530187)",Mobile/Open311,http://mobile311.sfgov.org/reports/11763620/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
3146832,11577408,10/20/2019 06:31:00 PM,10/21/2019 04:32:46 PM,10/21/2019 04:32:46 PM,Closed,Case Resolved - Pickup completed.                                 Other;,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"581 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,6.0,South of Market,SOUTHERN,37.778697967529,-122.40950012207,"(37.77869797, -122.40950012)",Phone,,32.0,1.0,10.0,34.0,9.0,14.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,,1.0,6.0,,1.0,2.0,1.0,1.0,,,32.0
745506,4120212,10/17/2014 10:59:40 PM,10/21/2014 02:59:11 PM,10/21/2014 02:59:11 PM,Closed,Case Transferred - to PSR #462949,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,108_General_Careless_Operation,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5708871,15956445,10/17/2022 01:18:00 PM,10/18/2022 01:09:00 PM,10/18/2022 01:09:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"194 COLERIDGE ST, SAN FRANCISCO, CA, 94110",COLERIDGE ST,9.0,Bernal Heights,INGLESIDE,37.742751899735,-122.420328154623,"(37.7427519, -122.42032815)",Mobile/Open311,http://mobile311.sfgov.org/reports/15956445/photos,83.0,9.0,2.0,2.0,7.0,2.0,4.0,28859.0,7.0,2.0,2.0,,83.0,,2.0,,,,,,,1.0,,,,,83.0
